AgendaEventos_CodAgenda;Agenda;CodAgenda;AgendaEventos;CodAgenda
ContratosProdutos_CodContrato;Contratos;CodEmpresa;ContratosProdutos;CodEmpresa
ContratosTransferencias_CodContrato;Contratos;CodEmpresa;ContratosTransferencias;CodEmpresa
ContratosTransferencias_CodContrato;Contratos;CodContrato;ContratosTransferencias;CodContrato
ControleEntregaAbastecimento_CodEntrega;ControleEntrega;CodEmpresa;ControleEntregaAbastecimento;CodEmpresa
ControleEntregaAbastecimento_CodEntrega;ControleEntrega;CodEntrega;ControleEntregaAbastecimento;CodEntrega
FK_ControleEntregaAnexos_ControleEntregaAnexos;ControleEntrega;CodEntrega;ControleEntregaAnexos;CodEntrega
FK_ControleEntregaAnexos_ControleEntregaAnexos;ControleEntrega;CodEmpresa;ControleEntregaAnexos;CodEmpresa
ControleEntregaCargas_CodEntrega;ControleEntrega;CodEmpresa;ControleEntregaCargas;CodEmpresa
ControleEntregaCargas_CodEntrega;ControleEntrega;CodEntrega;ControleEntregaCargas;CodEntrega
FK_ControleEntregaColeta_ControleEntrega;ControleEntrega;CodEntrega;ControleEntregaColeta;CodEntrega
FK_ControleEntregaColeta_ControleEntrega;ControleEntrega;CodEmpresa;ControleEntregaColeta;CodEmpresa
ControleEntregaDespesas_CodEntrega;ControleEntrega;CodEntrega;ControleEntregaDespesas;CodEntrega
ControleEntregaDespesas_CodEntrega;ControleEntrega;CodEmpresa;ControleEntregaDespesas;CodEmpresa
FK_ControleEntregaDevolucao_ControleEntregaDevolucao;ControleEntrega;CodEntrega;ControleEntregaDevolucao;CodEntrega
FK_ControleEntregaDevolucao_ControleEntregaDevolucao;ControleEntrega;CodEmpresa;ControleEntregaDevolucao;CodEmpresa
FK_ControleEntregaPalete_ControleEntrega;ControleEntrega;CodEmpresa;ControleEntregaPalete;CodEmpresa
FK_ControleEntregaPalete_ControleEntrega;ControleEntrega;CodEntrega;ControleEntregaPalete;CodEntrega
ControleEntregaPessoal_CodEntrega;ControleEntrega;CodEmpresa;ControleEntregaPessoal;CodEmpresa
ControleEntregaPessoal_CodEntrega;ControleEntrega;CodEntrega;ControleEntregaPessoal;CodEntrega
FK_ControleEntregaProdutos_ControleEntrega;ControleEntrega;CodEntrega;ControleEntregaProdutos;CodEntrega
FK_ControleEntregaProdutos_ControleEntrega;ControleEntrega;CodEmpresa;ControleEntregaProdutos;CodEmpresa
FK_ControleEntregaPaleteComposicao_ControleEntregaPalete;ControleEntregaPalete;CodEmpresa;ControleEntregaPaleteComposicao;CodEmpresa
FK_ControleEntregaPaleteComposicao_ControleEntregaPalete;ControleEntregaPalete;CodEntrega;ControleEntregaPaleteComposicao;CodEntrega
FK_ControleEntregaPaleteComposicao_ControleEntregaPalete;ControleEntregaPalete;CodTipoPalete;ControleEntregaPaleteComposicao;CodTipoPalete
FK_ControleEntregaPaleteComposicao_ControleEntregaPalete;ControleEntregaPalete;OrdemItem;ControleEntregaPaleteComposicao;OrdemItem
FK_ControleEntregaPaleteComposicao_ControleEntregaPalete;ControleEntregaPalete;TipoMovimento;ControleEntregaPaleteComposicao;TipoMovimento
FK_CorreiosConfiguracaoServicos_CorreiosConfiguracao;CorreiosConfiguracao;CodConfiguracao;CorreiosConfiguracaoServicos;CodConfiguracao
